year,area, rate 
2000, Stoke-on-Trent ,6.7
2001, Stoke-on-Trent ,8.6
2002, Stoke-on-Trent ,11.3
2003, Stoke-on-Trent ,11.4
2004, Stoke-on-Trent ,14.8
2005, Stoke-on-Trent ,15.7
2006, Stoke-on-Trent ,24.7
2007, Stoke-on-Trent ,33.4
2008, Stoke-on-Trent ,32.4
2009, Stoke-on-Trent ,36.2
2010, Stoke-on-Trent ,45.1
2011, Stoke-on-Trent ,39.8
2012, Stoke-on-Trent ,43.5
2013, Stoke-on-Trent ,39.5
2014, Stoke-on-Trent ,42.7
2015, Stoke-on-Trent ,35.5
2016, Stoke-on-Trent ,42.5
2017, Stoke-on-Trent ,44.8
2018, Stoke-on-Trent ,51.9
2000, England and Wales ,7.2
2001, England and Wales ,7.3
2002, England and Wales ,7.4
2003, England and Wales ,8.6
2004, England and Wales ,11.2
2005, England and Wales ,16.2
2006, England and Wales ,25.4
2007, England and Wales ,25.1
2008, England and Wales ,24.8
2009, England and Wales ,30.9
2010, England and Wales ,30.7
2011, England and Wales ,26.9
2012, England and Wales ,24.5
2013, England and Wales ,22.4
2014, England and Wales ,21.8
2015, England and Wales ,17.6
2016, England and Wales ,19.7
2017, England and Wales ,21.4
2018, England and Wales ,25.0
